id,price_date,price_off_peak_var,price_peak_var,price_mid_peak_var,price_off_peak_fix,price_peak_fix,price_mid_peak_fix
038af19179925da21a25619c5a24b745,1/1/2015,0.151367,0,0,44.26693116,0,0
038af19179925da21a25619c5a24b745,2/1/2015,0.151367,0,0,44.26693116,0,0
038af19179925da21a25619c5a24b745,3/1/2015,0.151367,0,0,44.26693116,0,0
038af19179925da21a25619c5a24b745,4/1/2015,0.149626,0,0,44.26693116,0,0
038af19179925da21a25619c5a24b745,5/1/2015,0.149626,0,0,44.26693116,0,0
038af19179925da21a25619c5a24b745,6/1/2015,0.149626,0,0,44.26692996,0,0
038af19179925da21a25619c5a24b745,7/1/2015,0.150321,0,0,44.44470996,0,0
038af19179925da21a25619c5a24b745,8/1/2015,0.145859,0,0,44.44470996,0,0
038af19179925da21a25619c5a24b745,9/1/2015,0.145859,0,0,44.44470996,0,0
038af19179925da21a25619c5a24b745,10/1/2015,0.145859,0,0,44.44470996,0,0
038af19179925da21a25619c5a24b745,11/1/2015,0.145859,0,0,44.44470996,0,0
038af19179925da21a25619c5a24b745,12/1/2015,0.145859,0,0,44.44470996,0,0
31f2ce549924679a3cbb2d128ae9ea43,1/1/2015,0.125976,0.103395,0.071536,40.5659694,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,2/1/2015,0.125976,0.103395,0.071536,40.5659694,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,3/1/2015,0.125976,0.103395,0.071536,40.5659694,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,4/1/2015,0.125976,0.103395,0.071536,40.5659694,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,5/1/2015,0.124815,0.102234,0.070375,40.5659694,24.33958068,16.22638872
31f2ce549924679a3cbb2d128ae9ea43,6/1/2015,0.126916,0.10524,0.07515,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,7/1/2015,0.126916,0.10524,0.07515,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,8/1/2015,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,9/1/2015,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,10/1/2015,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,11/1/2015,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
31f2ce549924679a3cbb2d128ae9ea43,12/1/2015,0.118755,0.101071,0.075096,40.728885,24.43733004,16.29155496
36b6352b4656216bfdb96f01e9a94b4e,1/1/2015,0.123086,0.100505,0.068646,40.5659694,24.33958068,16.22638872
36b6352b4656216bfdb96f01e9a94b4e,2/1/2015,0.123086,0.100505,0.068646,40.5659694,24.33958068,16.22638872
36b6352b4656216bfdb96f01e9a94b4e,3/1/2015,0.123086,0.100505,0.068646,40.5659694,24.33958068,16.22638872
36b6352b4656216bfdb96f01e9a94b4e,4/1/2015,0.123086,0.100505,0.068646,40.5659694,24.33958068,16.22638872
36b6352b4656216bfdb96f01e9a94b4e,5/1/2015,0.123086,0.100505,0.068646,40.5659694,24.33958068,16.22638872
36b6352b4656216bfdb96f01e9a94b4e,6/1/2015,0.123086,0.100505,0.068646,40.565973,24.33957804,16.22638296
36b6352b4656216bfdb96f01e9a94b4e,7/1/2015,0.123086,0.100505,0.068646,40.565973,24.33957804,16.22638296
36b6352b4656216bfdb96f01e9a94b4e,8/1/2015,0.113068,0.095385,0.069409,40.728885,24.43733004,16.29155496
36b6352b4656216bfdb96f01e9a94b4e,9/1/2015,0.113068,0.095385,0.069409,40.728885,24.43733004,16.29155496
36b6352b4656216bfdb96f01e9a94b4e,10/1/2015,0.113068,0.095385,0.069409,40.728885,24.43733004,16.29155496
36b6352b4656216bfdb96f01e9a94b4e,11/1/2015,0.113068,0.095385,0.069409,40.728885,24.43733004,16.29155496
36b6352b4656216bfdb96f01e9a94b4e,12/1/2015,0.113068,0.095385,0.069409,40.728885,24.43733004,16.29155496
48f3e6e86f7a8656b2c6b6ce2763055e,1/1/2015,0.144431,0,0,44.26693116,0,0
48f3e6e86f7a8656b2c6b6ce2763055e,2/1/2015,0.144431,0,0,44.26693116,0,0
